0	丝米 分 零点五
hypodermic	注射针 皮下注射 针具
hypoglossal	舌下
hypoglycemia	低血糖
hyponym	下位词
hypophthalmichthys	鱮 鲢 鳙鱼
hyporhampus	鱵
hypostatic	融为一体
hypotenuse	弦 斜边 絃
hypothalamus	下丘脑 下视丘
hypothermia	低体温症 失温症
hypothesis	假定 假想 假设 假说 猜想 说法
hypothetical	假想敌 假设性 虚拟
hyssop	牛膝草
hysteresis	迟滞现象
hysteria	歇斯底里 癔病 癔症 癪 脏躁
hysterical	歇斯底里 狂乱
hysteromyoma	子宫肌瘤
hyundai	现代 现代集团
i	一窍不通 不佞 不才 不敢高攀 不材 久仰大名 久慕 也就是 书不尽言 予 人家 伲 但愿 但愿如此 余 侬 俺 兄弟 别来无恙 包在我身上 卬 即 原来如此 受业 只怕 后会有期 吾 咱 咱们 咱家 哀家 善始善终 喔 多累 天机不可泄漏 天机不可泄露 失敬 失迎 妾 姑奶奶 寡人 对不上 对不住 对不起 小人 小婿 小子 小弟 小的 尚飨 岂敢 弟 德薄能鲜 心有余，力不足 心领 恐怕 感同身受 愿闻其详 我 我也是醉了 敝帚千金 是荷 晚生 有了 有头有尾 有始有终 有子存焉 朕 本人 某人 洒家 真怪 窃 老夫 老姥 老娘 老子 老朽 老汉 臣 臣妾 行不更名，坐不改姓 见教 讨扰 试问 跑了和尚跑不了庙 跑了和尚，跑不了寺 跑得了和尚，跑不了庙 身份证号码 身分证号码 过誉 鄙人 阿拉 雅正 麿
iambic	抑扬格
iask	爱问
ibaraki	茨城 茨城县
ibeam	工字梁 工字钢
iberia	伊比利亚
iberian	伊比利亚半岛
ibex	北山羊 羱羊
ibis	朱鹭 鹮
ibisbill	鹮嘴鹬
ibm	国际商业机器
ibrahim	易卜拉欣 甘巴里
ibuprofen	布洛芬 异丁苯丙酸
ic	公交卡 磁卡
icac	廉署
icbc	工行
ice	冰 冰刀 冰叶日中花 冰场 冰块 冰块盒 冰塞 冰壑 冰川期 冰排 冰晶 冰期 冰桥 冰桶 冰棍 冰棍儿 冰棒 冰河时代 冰河时期 冰河期 冰淇淋 冰激凌 冰灯 冰炭不言，冷热自明 冰球 冰球场 冰盖 冰碴 冰船 冰花 冰菜 冰袋 冰钓 冰钻 冰镐 冰镩 冰雕 冰雪 冰霜 冷藏箱 制冰机 坚冰 大冰期 树挂 浮冰 溜冰 溜冰场 溜冰鞋 破冰舰 破冰船 碎冰船 积冰 镩 镩子 雪条 雪糕
iceberg	冰山
icebound	冰封
icebox	冰箱 雪柜
icebreaker	破冰型艏
icecap	冰帽
icecold	冰冷 冰凉
icecovered	冰山
icecream	冰砖 冰糕 甜筒
iced	冰咖啡 冰水 冰镇 冰饮 加冰 加冰块
icefree	不冻港 不冻港口
icehouse	冰窖
icejam	凌汛
iceland	冰岛 冰洲石
icelolly	冰糕
icesports	冰上运动
ichthyology	鱼类学
ichthyosaur	鱼龙
iciba	爱词霸
icicle	冰凌 冰柱 冰溜 冰锥 凇
icily	冷傲
icing	糖粉
icon	图标 图示
iconic	标志性
icosahedron	二十面体
icy	冰风暴 冷厉 冷若冰霜 凌兢
id	本我 胸卡 胸牌 证件 证照 识别证 身份卡 身份证 身份证明 身份识别卡
idaho	爱达荷 爱达荷州
idea	主意 建言 念 念头 思想 想头 意 意念 意思 意见 构思 概念 点子 理念 表象 辙 魂灵
ideal	乘龙快婿 再好不过 天造地设 如意郎君 妙处 志向 珠联璧合 理想 理想国 男才女貌 郎才女貌 钱多事少离家近
idealism	理想主义
ideas	心路 脑瓜
idem	同上
idemfactor	幺并矢
idempotent	幂等
identical	一律 一模一样 一水儿 全同 同一 同卵 同卵双胞胎 同符合契 恒等 相同 雷同 齐
identifiability	辨识度
identification	串号 证件照 证明 证明文件 身份识别卡 辨识 验明正身
identifier	识别号 识别码
identity	单位元 恒等 恒等式 身份 身份卡 身份盗窃 身份证
ideogram	形声 指事 指事字
ideograph	表意文字
ideographic	表意
ideographical	表意文字
ideological	思政 政工
ideology	主义 思想 思想体系 意识形态 政治思想 观念
idine	啶
idiocy	白痴
idiom	习惯用法 习惯用语 习语 惯用语 成语 熟语
idiomatic	习惯用语
idiopathic	特发性
idiophone	体鸣乐器
idiosyncrasy	特异性
idiot	二屄 二百五 低能儿 傻冒 傻大个 傻子 傻帽 傻瓜 傻蛋 呆根 呆瓜 大愚 小白 山炮 彪子 憨子 痴汉 白痴 笨蛋 笨货 蠢材 蠢猪 蠢货 豆渣脑筋 马鹿
idiotic	二屄 騃
idle	休闲 冗散 唾余 怠 懈惰 懒惰 懒汉 懒鬼 清闲 游资 疏散 空喊 空暇 空置 空谈 空闲 纸上谈兵 调侃 闲 闲人 闲余 闲口 闲扯 闲散 闲来无事 闲空 闲聊天 闲言碎语 闲言闲语 飙口水
idleness	怠惰 逸豫
idler	二流子 懒蛋 闲人 阿混
idly	有一搭没一搭 等闲
idol	偶人 偶像 偶像剧 正主 爱豆
idyllic	诗情画意 风光旖旎
ieee	电机及电子学工程师联合会
ielts	雅思
if	一旦 万一 三人行，则必有我师 不然 不知者不罪 东方不亮西方亮 但愿 但愿如此 侵删 便是 倘 倘如 倘或 倘然 倘能如此 倘若 假 假令 假使 假如 假而 假若 假设 傥 冤冤相报何时了 出来混迟早要还的 势成骑虎 勤则不匮 只要 只要功夫深，铁杵磨成针 否则 大不了 如果 如果说 如若 嫁鸡随鸡 嫁鸡随鸡，嫁狗随狗 家和万事兴 少壮不努力，老大徒伤悲 就 庶几 当且仅当 当官不为民做主不如回家卖红薯 恕我冒昧 打蛇不死，后患无穷 既来之，则安之 早知今日何必当初 早知道 是可忍，孰不可忍 是否 朁 有本事 机关算尽太聪明，反算了卿卿性命 果 果然 果真 果若 欲加之罪，何患无辞 步子太大，容易扯着蛋 水能载舟，亦能覆舟 求人不如求己 活久见 的话 盂方水方 算起来 纲举目张 织当访婢 老天爷饿不死瞎家雀 老子英雄儿好汉，老子反动儿混蛋 耕当问奴 耕当问奴，织当访婢 苟 若 若且唯若 若是 若然 若要人不知，除非己莫为 若非 要 要不是 要是 言多必失 设 设或 设若 过而能改，善莫大焉 这样一来 道之所存，师之所存 酸儿辣女 骑虎难下
igloo	冰屋
igneous	岩浆岩 火成 火成岩
ignition	点火 点火开关 燃点 着火点
ignominious	可耻
ignoramus	愚人 肉眼凡胎 蠢汉
ignorance	愚昧 无明 无知
ignorant	不学无术 侗 俭腹 倥 倥侗 匹夫 坐井观天 大愚 如堕烟雾 孤陋 孤陋寡闻 愚弱 愚懦 愚昧 愚民 愚蒙 愚陋 愚顽 懵懂 懵懵懂懂 无知 暗 疑冰 盲目 童蒙 蒙 蒙昧 蒙昧无知 蚩 褦
ignore	不听老人言，吃亏在眼前 别理
igor	伊戈尔 莫伊谢耶夫
iguana	鬣蜥
iguanodon	禽龙
ijima	饭岛柳莺
ikat	絣
ikea	宜家
ikebana	插花
ikeda	池田
ileum	回肠
ili	伊犁哈萨克自治州 伊犁河
iliac	髂窝
iliescu	伊利埃斯库
ilium	髂 髂骨
ill	不善 不自在 凶兆 卧病 局促 局促不安 恶感 拘挛 拘束 拘泥 欠安 瘏 霉运 驴肝肺
illconsidered	一念之差 粗率
illegal	不合法 不法 两着儿 买路钱 人蛇 偷渡 地下钱庄 大陆客 套汇 横财 歪点子 滥伐 盗版 盗采 贩私 赌窝 违法 违禁药品 非法 黑
illegally	变造币 地沟油
illegallytraded	私盐
illegible	潦草
illegitimate	伪朝 孽子 私生女 私生子 私生子女 野种 非婚生
illegitimately	名不正言不顺
illfated	孽缘
illfeeling	芥蒂
illfounded	站不住脚
illgotten	不义之财 横财 油水 邪财
illicit	不正当关系 不正当竞争 乱 奸淫 姘夫 桃色 苟且 苟合 违禁 野鸳鸯
illinformed	孤陋 孤陋寡闻
illinois	伊利诺 伊利诺伊 伊利诺伊州 伊利诺州 伊州
illiterate	一丁不识 不识字 文盲 蒙昧
illlooking	痯
illmannered	无状
illness	病 病从口入 病从口入，祸从口出 病患 病症 症 症候 癃闭 癙 表证
illogical	颠连
ills	时弊
illtempered	嘎
illuminance	光照度 照度
illumination	光照 光线 启示 照明
illusion	幻景 幻梦 幻觉 幻象 掩样法 梦幻 梦幻泡影 泡影 狂想 空幻 错觉 魔幻
illusory	乌有 虚幻 虚无缥缈 错觉结合
illustrated	图鉴 画报
illustration	图例 图解 实例 插图 插画
illustrative	例语
illustrious	人杰 人杰地灵 崋 明德 显赫 显达 杰出 炽 英名 赫赫有名 闻达
illuvial	淀积物
ilmenite	钛铁矿
ilyich	伊里奇
ilyushin	伊留申
imagawayaki	车轮饼
image	人设 修图 值域 偶 像 印 噪点 图像 图像分割 图像处理 图像识别 圣像 形像 形象 影 影像 影像处理 影像档 意象 抠图 映像 梗图 画质 画面 相片 组图 表情包 调性
imagery	意象
imaginary	假想 空中楼阁 虚幻 虚数 虚无缥缈 虚星 虚构 虚线 虚誉 计都
imagination	想像 想像力 想象 想象力
imaginative	富于想像 才思 脑洞大开
imaging	成像
imaginings	绮想
imago	成虫
imai	今井
imam	伊玛目 教长 阿訇
imamura	今村
imbalance	失调
imbecile	痴 蠢人
imei	串号
imidazole	咪唑
imitation	仿冒品 仿品 仿宋 仿皮 仿羊皮纸 冒牌 冒牌货 山寨 山寨货 模仿品 模拟 翻版 高仿
imjin	壬辰倭乱
immaculate	完美无瑕 尼泊尔鹪鹛
immaculately	衣冠楚楚
immanuel	以马内利 伊曼纽尔 康德
immature	幼仔 幼小 幼崽 毛豆 生土 稚弱
immeasurable	不赀 无量
immeasurably	沾沾自喜
immediate	即时 直接 直系亲属 近因 顶头
immediately	即便 即刻 就 当下 旋 甫一 痛痛快快 登时 立 立刻 立即 立时 立马 第一时间 紧接 紧接着 赓即 跟手 跟着 迅即 这就 随即 顿时 马上
immemorial	太古
immense	巨大 滔天 甚巨
immensely	家赀万贯 洋洋 洋洋得意 洋洋自得 过瘾
immersion	热得快
immersive	沉浸式
immigrant	投资移民 移民 移民者
immigration	移民局 边检 迁居移民
imminent	即将来临 厝火积薪 在即 岌岌可危 当头 指日可待 朝不保夕 朝不虑夕 近在眼前 迫在眉睫
immobile	静止
immobilized	阻雨
immoderate	无度
immoral	不道德 放浪 无义 毐 流氓 缺德事 背德 违天害理 违天逆理
immorality	道德败坏
immortal	仙 佺 圣胎 天仙 灯塔水母 魂
immortality	长生不死
immovable	不动产
immovables	不动产
immune	免疫反应 免疫应答 免疫系统
immunity	免受 免疫 免疫力 抵抗力 豁免权
immunization	免疫法 预防针
immunology	免疫学
immutable	一成不变
imodium	易蒙停
imp	小鬼
impact	作用 冲击 冲击钻 影响力 影响因子 影响层面 感染力 撞击坑 撞击式印表机 撞击式打印机
impactful	弫 重磅
impair	毁损
impairment	减损 损伤
impartial	不偏不倚 不偏斜 中中 公平 均等 大公 大公无私 客观 平明 超然
impartiality	中立性
impartially	秉公
impassable	不可逾越 死
impasse	僵局 断头路 末路
impassioned	切激 慷慨激昂 激昂 激烈
impatient	不耐烦 心切 心急 急不可待 急于求成 急切 急吼吼 急性病 急拍拍 性急 悁 焦躁 燥 猴急 眼巴巴 躁
impeach	抨
impeccable	一百一 无懈可击 白璧无瑕 零缺点
impeccably	西装革履
impecunious	穷光蛋
impedance	阻抗 阻抗匹配 阻抗变换器
impediment	故障 障碍
impenetrable	密不透风 弥蒙 铜墙铁壁 高城深池
imperative	势在必行 命令句 急迫 眉睫 祈使句
imperceptible	潜移默化
imperceptibly	无形中
imperceptive	眛
imperfect	不完善 未完成
imperial	上方宝剑 上谕 五刑 侍卫 内务府 冕 华盖 印玺 后妃 后庭 圣旨 圣训 圣谕 城阙 大理寺 大驾 天书 天兵 天庭 天谴 太医 太学 太师 太平御览 妃 妃嫔 妃子 姫 娘娘 嫔 嫔妃 宗室 宦 宦骑 宫主 宫人 宸 寝 尚方剑 尚方宝剑 帝京 帝位 帝制 帝后 帝国 帝国理工学院 帝都 庙 庙堂 廊庙 当驾 御 御医 御厨 御史 御宝 御批 御用 御膳房 御酒 敇 敕 敕令 旨 朝 朝廷 柘袍 狩 王宫 皇军 皇后 皇城 皇室 皇宫 皇家 皇恩 皇权 皇榜 皇法 禁军 禁卫军 禘 离宫 科举 科举制 科举考试 科甲 策试 翰林院 考官 芸阁 苑 英吨 衮 言官 诏 诏书 诏令 诏旨 诏狱 诏谕 诸生 谋臣 谕旨 贵妃 辇下 邸报 銮 銮驾 钦命 钦差 阙 霄汉 龙巾 龙庭 龙舟 龙车
imperialism	帝国主义
imperious	专横 咄咄逼人 霸气
imperishable	丰碑
impermanence	无常
impermanent	与时消息 朝露暮霭 电光朝露
impermeable	不透水
impermissible	不兴
impersonator	冒名顶替者
impertinent	不逊
impervious	一成不变 不可理喻 刀枪不入
impetigo	脓痂疹
impetuous	匆遽 孟浪 急于求成 急性人 急性子 急躁 愣头愣脑 气盛 浮 狂躁 狷
impetus	动力 势头 声势 推力
implacable	深恶痛绝 食肉寝皮
implant	假体 种植体
implantation	着床
implausible	牵强
implement	器具 器物 𬭎
implementation	实施例
implicated	牵涉 牵连
implication	内涵 寓意 意味 意蕴 涵义 涵意 蕴涵 言下之意 话音 题意
implicit	含蓄 暗含 潜台词 蕴涵 蕴藉 阴 隐函数 隐含 隐显 隐藏 韵味
implied	含义 字里行间 弦外之音 隐意 默示
implore	蕲
imploring	千叮万嘱
implosion	内爆法原子弹
impolite	不客气 没大没小 非礼
import	入超 寓意 意涵 洋将 进口商
importance	意义 斤两 痛痒 重要性
important	事迹 五鬼闹判 伟大 吃紧 吃重 名臣 大将军 大节 当轴 打紧 政要 显要 有意义 祭酒 要 要事 要人 要件 要务 要图 要径 要政 要枢 要津 要目 要着 要紧 要职 要著 要路 要闻 重典 重大 重头 重点 重臣 重要 重量级 鸿图大计
importation	进出口
imported	外来货 洋油 洋货 舶来品 进口
importer	进口商
importexport	进出口
imposing	伟丽 伟岸 凛 凝重 堂皇 壁立千仞 大气 威严 威风 宏伟 巍巍 巍然 气势 气势宏伟 气派 气魄 潭府 雄 雄伟
impossible	不可端倪 不可能 做不到 办不到 势不可当 扑朔迷离 择不开 挥之不去 无懈可击 没门儿 活不下去 玉珉 纠缠不清 羊触藩篱 羝羊触藩 言不可传
impossibly	愚不可及
impost	捐税 税捐
impostor	冒名顶替者 冒牌
imposture	假充
impotence	不举 阳痿
impotent	孱弱
impoverished	一穷二白 凋敝 寒士 沦落 穷愁潦倒 穷苦 穷酸 穷鬼 窘匮 贫乏 贫困 贫困地区 贫寒 贫穷 赤贫如洗
impoverishment	贫乏
impractical	不切合实际 不切实际 削足适履 架空 空想家 迂拙 迂远 酸
imprecise	不准确 概数
impregnable	坚不可摧 金城汤池 金汤
impregnated	受胎
impression	印子 印痕 印象 念想 念想儿 感觉 观后感 读后感
impressionism	印象主义 印象派
impressions	感想 随想 随感
impressive	不俗 亮眼 傲人 千军万马 可观 史诗级 吓吓叫 堂堂正正 壮举 大气 奇观 威风 威风凛凛 巴闭 有排面 有料 气宇轩昂 气派 洋洋 神气 给力 蔚 赫赫 风光 骄人
impressivelooking	中看不中用
impressively	啴啴 赫然
impressiveness	排面
imprint	印记
imprisonment	牢狱之灾 羁押
improbable	不会
impromptu	临场 即兴 即席
improper	不伦 不当 不正当 不正当关系 不端 假分数 偏斜 失宜 失当 媮 欠妥 畸恋 离谱 苟且 邪僻 非份 非分 非分之念
impropriety	非礼
improved	良种
improvement	好转 改进 转好 进步 进益
improvisation	即兴 即兴之作 即兴发挥 机变
improvise	摸石头过河
improvised	即席 简易爆炸装置 自制
impudent	冒失 厚脸皮 放肆 没大没小 皮脸 讪脸
impulse	冲动 冲量
impulsive	鲁莽
impunity	有罪不罚
impure	浊 龌浊
impurities	混杂物
impurity	前尘 杂质
in	一下子 一不做，二不休 一丝不挂 一举 一会 一会儿 一共 一刹那 一半天 一口气 一句话 一块 一塌糊涂 一字 一式二份 一弹指顷 一总 一旦 一晃 一本正经 一来二去 一气之下 一溜烟 一直以来 一眨眼 一窝蜂 一箩筐 一致 一般 一般说来 一言以蔽之 一起 一转眼 一连 一霎 一霎时 一霎眼 一霎间 一骨碌 一鼓作气 七上八下 七老八十 三三两两 三五成群 三心二意 三旬九食 三更半夜 三言两句 三言两语 不像样 不快 不日 不景气 不爽 不省人事 不管怎样 不顾 世界各地 业余 严整 丧魂落魄 个中 中 中间 临盆 临蓐 临难 为了 为数 为此 为着 主掌 主管 久而久之 之中 乌七八糟 乌泱乌泱 乌烟瘴气 乎 也就是 也就是说 乡间 书面 乱 乱七八糟 乱哄哄 乱套 乱成一团 乱掉 乱麻 了 了当 事先 事前 事后 事实上 于 亏空 云涌 井下 交互 交兵 交替 亲 亲民 亲笔 亲自 人不知鬼不觉 人仰马翻 人外有人，天外有天 人生地不熟 今后 从先 仓皇 代替父母 代表 以 以便 以免 以利于 以后 以往 以期 以次 以正视听 以此类推 以求 以资证明 以防 仿古 伙同 低低切切 低声 低声细语 低迷 体内 体外 体外受精 体弱多病 余 佛爷 依 依序 依我来看 依我看 依次 依照 依着 便 便是 俄顷 俏 俗气 信手 俯仰之间 俾使 倒灶 倒着 倘 倘若 借以 借位 倾危 假使 假若 偕 停滞不前 傍晚 儜 先不先 先后 先头 先期 先来后到 光天化日 全向 全盛 全色 全须全尾儿 共有 兴致勃勃 兴高采烈 兵不厌诈 兵荒马乱 其中 其外 其实 其间 内忧外困 内忧外患 再衰三竭 冥冥之中 冲 况且 冷冷清清 冷清清 准 凌乱不堪 凌晨 凌杂 分分钟 分别 分期 列队 利落 到了 到头 到头来 到底 刹时 前一向 前头 前边 前面 加上 加之 加以 匆促 十拿九稳 半夜 半大不小 半空中 协同 单月 危亡 危在旦夕 危如累卵 危殆 即日 历史上 压根 原位 原则上 原原本本 参差错落 及 反 反正 反过来 发展中 发指眦裂 发春 发语词 取其精华，去其糟粕 受窘 变相 古时候 古昔 另外 可望而不可及 台下 史上 叶落归根 吃紧 吃香 各地 合于时宜 合共 合拍 合时 合时宜 合辙 同调 名义 名正言顺 含苞待放 吴越同舟 周瑜 命危 和美 哗然 哪像 唐 喜冲冲 嘴里 囊中取物 四分五裂 四方 因公 因父之名 困厄 困顿 圈内 在内 在前 在千钧一发之际 在台 在天愿做比翼鸟，在地愿做连理枝 在我看 在我看来 在望 在这期间 在途 地利 坊间 基于 处处 备至 外 外加 多 多方 多方面 多轮 夜深人静 夜阑 夤夜 大事 大体 大体上 大凡 大器晚成 大声 大庭广众 大方 大踏步 天地良心 天底下 失宠 头昏眼晕 头里 夹七夹八 夹起尾巴 好使 好好儿 好歹 好看 如堕五里雾中 如数 如斯 如果 妙龄 嫪毐 安 完好 完好无损 完好无缺 实则 实物 实际上 宿昔 富余 对唱 对消 将来 小声 小时候 少顷 尚方剑 尚方宝剑 尤其是 就 就是说 就近 尽先 尽数 尽管 尽致 居首 山中无老虎，猴子称大王 山外有山，天外有天 左不过 左右两难 左右为难 左耳入，右耳出 巴巴结结 布衣韦带 师古 常用 干 平均 平心而论 平时 年中 年轻气盛 年间 并且 幽 应名 开首 弹尽援绝 弹尽粮绝 弹指 弹指一挥间 弹指之间 归根到底 归根究底 归根结底 归根结蒂 当世 当中 当众 当年 当政 当着 当街 当道 当面 形势严峻 往初 往前 往古 往后 往岁 往年 往往 待会儿 徒 徒然 得以 得法 御用 循序 循序渐进 心下 心中 心目中 忐忑不安 忙不迭 忙忙叨叨 忽忽 怅惘 怒不可遏 怒放 怒气冲冲 怔怔 怔神儿 急于 总 总之 总共 总的来说 总而言之 恋爱 恍 悄声 悉 悻然 情人眼里有西施 情急之下 惊遽 惊魂 想必 慌得 慌忙 慌里慌张 成批 成群 成群结队 手里 执政 抑且 抑郁不平 抢手 报上 报端 拈指 拖欠 拢共 拢总 拮据 拿不准 挂名 按 按照 按理 按说 挥师 挨 挨个 挨次 挨肩儿 换句话说 换而言之 换言之 据我看 据此 据理 掌控 掌管 探囊取物 接二连三 接地气 接着 接触 接连 接连不断 提前 搜神记 搭便 搭调 摠 收 收押 敌手 散乱 散碎 整 新兴 旅顺港 旋踵 无以复加 无信义 无微不至 无恙 无效 无期 无精打采 无论如何 日内 日新 日暮途穷 日来 旧前 旧损 旧时 早已 早年 时髦 昂首 昂首挺胸 易言之 昔日 晚上 暂搁 暂缺 暌 暗中 曩 曲线 最后 有序 有效 有生之年 有鉴于此 服丧 服役 朝阳 未然 末了 本着 本身 杂乱 来 枉 枉然 林林总总 枷锁 树高千丈，叶落归根 梦中 梯次 概括 横 横七竖八 横三竖四 欢天喜地 欧式 欲擒故纵 正然 正眼 此外 残败 比年 比照 毕竟 沆瀣一气 河南县 河南蒙古族自治县 泛滥成灾 泪水涟涟 流亡 涂炭 涕泗横流 涕泗纵横 淋漓尽致 淡妆浓抹 深更半夜 源源不断 滚动 滞纳 满公 满坑满谷 潜踪 潦倒 濒危 灰心丧气 灵魂深处 热火朝天 热门 烶 然则 然顷 照 照样 照理 熟地 爱恋 爽捷 爽爽快快 片中 特别 狐女 狼狈 狼藉 猛可 玩兴 现存 现行 理亏 理直气壮 琴瑟和鸣 生平 用以 畅然 界内球 病病殃殃 痴痴 白 白白 白纸黑字 白饶 百姿千态 百般 皆 盛开 目无法纪 相持不下 相继 相通 真实感 真真 眨眼 眼中 眼底 眼底下 眼皮底下 眼看 着忙 着紧 瞬息 瞬息万变 瞬息之间 瞬间 瞬霎 破败 碎心裂胆 磁吸效应 神思恍惚 神采奕奕 神采飞扬 福晋 秀雅 私下 秒秒钟 租税 秩序井然 稍后 穷蹙 穷途末路 空 空中 空名 空空 窃声 窋 窘迫 竟然 笔头 符合 第一时间 等一下 等因奉此 简单明了 简而言之 简言之 简述 算起来 管窥所及 管见所及 精神奕奕 精神恍惚 精神抖擞 精神焕发 精神饱满 糊里糊涂 糟透 紧俏 紧张 紧缺 累计 繁 纵声 纷杂 纷纷 细声细气 终久 终于 终究 经商 结果 络绎不绝 绝不 统共 缕 编年体 缱绻 罡风 羊触藩篱 羝羊触藩 翻江倒海 耋 而且 耳旁风 耳边风 聊以塞责 肘腋 背后 背地 背阴 能彀 脏乱 腰金衣紫 苧 萧条 落叶归根 落得 落托 落拓 落泊 落魄 蒙难 虚 虚弱 蝉联 融然 融融 行 行色匆匆 街上 衰微 西艺 要之 见报 见状 试管受孕 诚惶诚恐 详细 说到底 说真的 请安 谪戍 负气 走投无路 赶上 起先 趁便 跳进黄河洗不清 踥蹀 身为 身处 躬亲 转眼 转眼之间 转眼间 转瞬 转脸 轮廓鲜明 轮次 轮番 轻声 轻者 过往 迎面 迎面而来 迎风 近几年 近期 还 还有 这么样 这么着 这就是说 进退不得 进退两难 进退为难 进退失据 进退维谷 违信背约 违时绝俗 连 连三并四 连珠 连续 迷迷糊糊 追寻现代中国 适时 递 递减 递增 逡巡 遵照 遹 那么 那时 酒后吐真言 醉生梦死 里出外进 重者 釜底游鱼 鉴于 鉴此 针对 钟鸣漏尽 钳马衔枚 错乱 错落有致 门前 间不容发 阨 阿耳戈斯 附带 陆续 陆陆续续 除了 除此之外 随手 随着 难兄难弟 雀跃 雅致 零乱 零星 霎时 霎时间 霎眼 露天 青天白日 非 面前 韵事 顷之 顷刻 顷刻间 顺便 顺势 顺带 顺应 顺手 顺次 须臾 预 预先 风华正茂 饥寒交迫 首先 高兴 高岸 高朋满座 高迈 高高兴兴 鱼贯 鸡零狗碎 鸡飞狗跳 麇 黑天半夜 黑白分明 默默 齐声 齐打夯儿地 龃龉 𥆧息
